,shop_order,tool,mach_name,resin,total_pieces,start_time,end_time,number of entries
150,186715,R7479D-Thin-Wall,52-H1100,RM129,10581.0,2019-02-17 13:12:19,2019-02-23 06:00:01,13.0
151,186157,R7567C,66-N400,RM171,65921.0,2019-02-17 15:30:43,2019-05-03 06:00:00,151.0
152,186435,R7636A,77-H800,RM171,3066.0,2019-02-17 16:25:35,2019-02-25 06:00:00,24.0
153,186139,R7028M-Thin-Wall,31-N500,RM165,4632.0,2019-02-18 03:10:37,2019-02-18 14:00:00,3.0
154,186406,R7036E-Thin-Wall,74-H650,RM129,23483.0,2019-02-18 13:53:13,2019-02-25 22:00:00,24.0
155,186629,R7028M-Thin-Wall,31-N500,RM129,64080.0,2019-02-18 16:25:05,2019-02-26 06:00:00,24.0
156,186300,R7024L,65-T310,RM171,58565.0,2019-02-19 07:15:05,2019-03-02 14:00:00,34.0
157,185699,R7026D,71-V300,LH,33120.0,2019-02-20 20:43:29,2019-02-25 14:00:00,16.0
158,186663,R7027D-Thin-Wall,70-N400,RM129,32984.0,2019-02-20 20:52:21,2019-02-25 14:00:00,16.0
159,186041,R7461E,37-N400,RM129,288497.0,2019-02-21 04:24:29,2019-03-05 06:00:01,130.0
160,186504,R7046L-Thin-Wall,42-T720,RM171,7102.0,2019-02-23 11:47:21,2019-02-26 06:00:00,7.0
161,187162,R7479B,52-H1100,RM129,4368.0,2019-02-23 11:47:25,2019-02-26 06:00:00,7.0
162,186559,R7450A,35-T180,RM171,32502.0,2019-02-23 17:09:05,2019-03-03 22:00:00,26.0
163,186257,R7597C-Thin-Wall,77-H800,RM171,15898.0,2019-02-25 07:16:21,2019-03-18 06:00:00,64.0
164,186302,R7045D,23-V400,RM171,163276.0,2019-02-25 13:06:12,2019-03-12 06:00:01,92.0
165,186415,R7067C,20-T390,RM129,11960.0,2019-02-25 15:54:11,2019-03-01 06:00:00,12.0
166,186158,R7024K,91-T180,RM171,8566.0,2019-02-25 21:18:35,2019-03-03 18:00:01,19.0
167,187264,R7036E-Thin-Wall,74-H650,RM129,5235.0,2019-02-25 22:19:45,2019-02-28 06:00:00,8.0
168,186599,R7032D,43-N500,RM171,36835.0,2019-02-26 00:20:10,2019-03-21 18:00:00,42.0
169,186020,R7622A,43-N500,RM093,9983.0,2019-02-26 09:50:00,2019-03-02 06:00:00,9.0
170,186307,R7605D,83-T390,RM171,86110.0,2019-02-26 11:15:17,2019-03-19 06:00:01,128.0
171,186172,R7451A,90-N120,RM036,28111.0,2019-02-26 13:14:29,2019-03-02 06:00:00,16.0
172,187469,R7046L-Thin-Wall,42-T720,RM165,4976.0,2019-02-26 14:07:31,2019-03-04 06:00:01,13.0
173,186439,R7500D,14-N400,RM129,214732.0,2019-02-26 18:57:15,2019-03-04 06:00:01,60.0
174,186545,R7102B,76-V400,RM129,45620.0,2019-02-26 19:01:42,2019-03-04 22:00:00,20.0
175,186591,R7042M,32-N400,RM171,10656.0,2019-02-27 12:38:16,2019-03-06 14:00:00,23.0
176,187167,R7413B,67-H800,RM165,8089.0,2019-02-27 20:38:12,2019-03-04 18:00:00,11.0
177,187265,R7036E-Thin-Wall,74-H650,RM129,4029.0,2019-02-28 07:07:08,2019-03-01 06:00:00,4.0
178,186283,R7502E,18-N400,RM129,101578.0,2019-02-28 07:32:15,2019-03-07 06:00:01,73.0
179,186109,R7599B,89-T610,RM171,55016.0,2019-02-28 17:47:13,2019-03-13 18:00:00,28.0
180,186110,R7508A,20-T390,RM129,72846.0,2019-03-01 07:47:34,2019-03-27 06:00:00,157.0
181,186851,R7089C,64-N400,RM093,5662.0,2019-03-01 11:38:05,2019-03-01 18:00:00,4.0
182,186308,R7451A,90-N120,RM036,52186.0,2019-03-02 16:52:23,2019-03-19 18:00:00,52.0
183,186951,R7024L,65-T310,RM171,67428.0,2019-03-02 18:57:03,2019-03-11 14:00:00,28.0
184,186950,R7515A,42-T720,RM093,18509.0,2019-03-04 06:14:36,2019-03-14 18:00:00,22.0
185,187216,R7413B,67-H800,RM165,4008.0,2019-03-04 18:20:27,2019-03-06 06:00:00,4.0
186,186733,R7102B,76-V400,RM129,61798.0,2019-03-04 23:05:35,2019-03-14 14:00:00,30.0
187,187546,R7046K,46-H650,RM171,106946.0,2019-03-05 13:20:26,2019-03-14 06:00:00,37.0
188,187446,R7036E-Thin-Wall,74-H650,RM129,7379.0,2019-03-05 19:13:09,2019-03-07 22:00:01,8.0
189,186380,R7042M,32-N400,RM171,5696.0,2019-03-06 18:06:12,2019-03-11 06:00:00,15.0
190,186440,R7502E,18-N400,RM129,265982.0,2019-03-07 09:42:13,2019-03-12 18:00:01,60.0
191,187269,R7479C-Thin-Wall,54-H1100,RM176,7670.0,2019-03-07 14:25:11,2019-03-10 22:00:00,11.0
192,187456,R7479D-Thin-Wall,52-H1100,RM176,3982.0,2019-03-08 10:29:07,2019-03-10 06:00:01,5.0
193,187186,R7479D-Thin-Wall,52-H1100,RM129,3315.0,2019-03-11 04:33:30,2019-03-18 06:00:00,6.0
194,186756,R7042M,32-N400,RM171,16280.0,2019-03-11 09:51:30,2019-03-26 06:00:01,46.0
195,186309,R7450A,91-T180,RM171,42925.0,2019-03-11 14:43:01,2019-03-22 06:00:01,23.0
196,186301,R7024L,65-T310,RM171,87228.0,2019-03-11 17:39:53,2019-04-07 22:00:00,83.0
197,186119,R7407B,80-H440,RM171,3893.0,2019-03-12 04:47:33,2019-03-13 06:00:00,5.0
198,186005,R7045D,23-V400,RM171,55122.0,2019-03-12 06:26:18,2019-03-18 14:00:00,40.0
199,186500,R7500D,14-N400,RM129,291565.0,2019-03-12 14:34:20,2019-03-19 06:00:01,75.0
200,187654,R7481A,85-N400,RM093,13880.0,2019-03-12 16:48:36,2019-03-22 06:00:00,30.0
201,186497,R7502E,18-N400,RM129,245387.0,2019-03-13 00:29:11,2019-03-17 18:00:01,55.0
202,186379,R7407B,80-H440,RM171,11200.0,2019-03-13 11:18:45,2019-03-16 14:00:01,11.0
203,186063,R7599B,89-T610,RM171,9276.0,2019-03-13 23:52:28,2019-03-15 06:00:00,4.0
204,186443,R7461E,37-N400,RM129,123223.0,2019-03-14 13:11:55,2019-03-20 18:00:01,49.0
205,187678,R7462C,44-N400,RM171,31268.0,2019-03-14 13:50:05,2019-03-16 06:00:01,15.0
206,186734,R7102B,76-V400,RM129,68532.0,2019-03-14 16:23:43,2019-04-02 14:00:00,58.0
207,187688,R7013C,40-T390,RM110,113652.0,2019-03-14 16:44:25,2019-03-21 14:00:00,22.0
208,186700,R7623A,50-T390,RM093,37215.0,2019-03-14 16:58:45,2019-04-05 03:30:01,66.0
209,187668,R7515A,42-T720,RM093,15253.0,2019-03-14 19:02:15,2019-03-18 06:00:00,8.0
210,186850,R7028M-Thin-Wall,31-N500,RM129,2626.0,2019-03-15 00:21:11,2019-03-15 06:00:00,2.0
211,187346,R7633A,86-T390,RM129,58479.0,2019-03-15 10:58:51,2019-03-26 06:00:01,62.0
212,186121,R7407B,80-H440,RM171,12341.0,2019-03-16 14:17:47,2019-03-21 14:00:00,17.0
213,186858,R7502E,18-N400,RM129,243038.0,2019-03-18 03:26:33,2019-03-23 06:00:01,60.0
214,186503,R7046L-Thin-Wall,42-T720,RM171,59456.0,2019-03-18 06:51:32,2019-04-01 06:00:01,29.0
215,187462,R7479D-Thin-Wall,52-H1100,RM129,11129.0,2019-03-18 07:31:50,2019-04-22 06:00:00,16.0
216,187136,R7599B,89-T610,RM171,5298.0,2019-03-18 10:36:12,2019-03-19 06:00:01,3.0
217,186553,R7045D,23-V400,RM171,116548.0,2019-03-18 18:06:23,2019-04-05 03:30:00,108.0
218,186412,R7605D,83-T390,RM171,119414.0,2019-03-19 10:38:43,2019-05-06 06:00:00,259.0
219,186501,R7500D,14-N400,RM129,298668.0,2019-03-19 13:31:10,2019-03-25 18:00:01,70.0
220,186567,R7624A,89-T610,RM093,19927.0,2019-03-19 15:11:59,2019-03-26 18:00:00,16.0
221,186684,R7450A,35-T180,RM171,34013.0,2019-03-19 22:48:03,2019-03-31 22:00:00,37.0
222,186394,R7611A,34-N400,RM004,7009.0,2019-03-19 22:48:51,2019-03-23 14:00:00,12.0
223,187672,R7515A,33-T500,RM176,43993.0,2019-03-19 22:49:32,2019-03-31 22:00:00,37.0
224,186557,R7451A,90-N120,RM036,68350.0,2019-03-20 06:00:00,2019-03-28 18:00:00,32.0
225,187468,R7036F-Thin-Wall,56-H650,RM129,3303.0,2019-03-20 09:00:21,2019-03-21 18:00:00,4.0
226,186628,R7461D,37-N400,RM129,170359.0,2019-03-21 05:00:00,2019-03-29 06:00:01,78.0
227,186711,R7407B,80-H440,RM171,4918.0,2019-03-21 17:23:40,2019-03-29 14:00:00,25.0
228,186736,R7032F,40-T390,RM171,17682.0,2019-03-21 17:39:38,2019-04-01 14:00:00,34.0
229,186566,R7622A,16-N400,RM093,27490.0,2019-03-21 22:32:08,2019-03-30 06:00:00,20.0
230,187486,R7036E-Thin-Wall,74-H650,RM129,12523.0,2019-03-22 00:41:02,2019-03-27 06:00:01,17.0
231,187416,R7569C-Thin-Wall,67-H800,RM129,42382.0,2019-03-23 13:47:50,2019-04-05 18:00:00,30.0
232,186761,R7502E,18-N400,RM129,158455.0,2019-03-23 15:38:27,2019-03-27 06:00:01,45.0
233,187116,R7630C,52-H1100,RM129,6644.0,2019-03-24 01:31:52,2019-03-27 06:00:00,8.0
234,186666,R7500D,14-N400,RM129,286956.0,2019-03-26 02:31:59,2019-04-02 06:00:01,79.0
235,186667,R7042M,32-N400,RM171,45706.0,2019-03-26 11:59:23,2019-04-12 06:00:01,52.0
236,186460,R7040H,20-T390,RM129,173008.0,2019-03-26 23:04:34,2019-04-18 06:00:00,135.0
237,187426,R7621A,89-T610,RM171,8097.0,2019-03-27 00:29:04,2019-07-11 14:00:00,32.0
238,187316,R7449A,64-N400,RM093,23396.0,2019-03-27 02:18:32,2019-03-31 06:00:00,23.0
239,186754,R7502E,18-N400,RM129,238499.0,2019-03-27 09:02:54,2019-04-01 06:00:01,55.0
240,186558,R7451A,90-N120,RM036,58725.0,2019-03-29 01:58:33,2019-04-04 18:00:01,30.0
241,187076,R7028M-Thin-Wall,31-N500,RM129,57618.0,2019-03-29 05:40:31,2019-04-11 14:00:00,41.0
242,186627,R7461E,37-N400,RM129,192271.0,2019-03-29 17:33:13,2019-04-05 18:00:01,73.0
243,187126,R7621A,89-T610,RM171,2807.0,2019-03-31 18:00:00,2019-04-12 22:00:00,7.0
244,186498,R7502E,18-N400,RM129,318727.0,2019-04-01 13:49:55,2019-04-08 06:00:01,76.0
245,187658,R7505A,40-T390,RM129,16534.0,2019-04-01 15:02:48,2019-05-02 06:00:00,93.0
