,Lot Number,Product,Date,Shop Order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1149,19D15363,31353611,20190708,188160,114338.826,RM106,FS10006111,,RM260,,,,,,PT00067913,,PT00069525,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1150,19D15663,8506SA,20190619,188163,95299.813,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1151,19D15863,8507SA,20190614,188165,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1152,19D15963,85121,20190529,188166,20500.000,RM004,FS10003096,R1246D,,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1153,19D16063,85131,20190724,188167,31200.000,RM032,FS10003101,R1246D,RM170,,,,,,PT00006610,,WP8510,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1154,19D16163,85221R,20190724,188168,65880.000,RM032,FS10003118,,RM170,,,,,,PT00006610,,WP8520N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1155,19D16363,8931,20190708,188170,0,RM160,FS10003177,R1292D,PT00062563,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1156,19D16463,8938,20190711,188171,4480.000,RM165,FS10003185,R1690,,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1157,19D16663,89651,20190612,188173,19080.000,RM093,FS10003196,R1300D,PT00065936,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1158,19D16763,89671,20190724,188174,63000.000,RM106,FS10003199,R1300D,RM170,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
