,Lot Number,Product,first_entry_date,last_entry_date,shop_order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
5739,21B17963X,4502570,2021-02-17,2021-02-17,196025,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5740,21B18063X,4502570,2021-02-18,2021-02-18,196027,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5741,21B18163X,4502570,2021-02-19,2021-12-01,196028,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5742,21B18263X,4502570,2021-02-19,2021-02-24,196029,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5743,21B18363X,4502570,2021-02-17,2021-02-17,196026,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5744,21B18463X,4502570,2021-02-24,2021-02-24,196030,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5745,21B18563X,4502570,2021-02-25,2021-02-25,196031,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5746,21B18663X,4502570,2021-02-26,2021-02-26,196032,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5747,21B18763X,4502570,2021-02-26,2021-02-26,196033,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5748,21B18863X,412SE,2021-04-20,2021-05-19,196034,6338.984,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
5749,21B18963,8974,2021-03-10,2021-03-10,196035,215.000,,FS10003206,R1025D,,,,,,,,,,,,,,,,,,,,R4415,,,,,,R8534,,,,,,,Containers
5750,21B19163X,1181200777,2021-02-17,2021-03-10,196059,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
5751,21B19263X,1181200777,2021-02-18,2021-03-10,196060,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
5753,21B195832,WP8998,2021-05-19,2021-08-01,195832,0,RM093,DC00030203,R98028,PT00065942,,X9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5754,21B195834,WP8982,2021-06-02,2021-07-25,195834,0,RM160,FS10002992,R98028,PT00065942,,X9894,,,,,,,,,,,R7075BY,R8249,,,,,,,,,,,,,,,,,,Containers
5755,21B195835,WP8980-C,2021-04-07,2021-07-05,195835,0,RM004,FS10002991,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
5756,21B195837,WP8965N,2021-03-24,2021-07-05,195837,0,RM004,FS10002987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
