,Lot Number,Product,first_entry_date,last_entry_date,shop_order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1706,19G00563X,4502570,2019-08-14,2019-08-14,189167,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
1707,19G00663X,4502570,2019-08-14,2019-08-14,189168,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
1708,19G00763X,4502500,2019-07-11,2019-07-11,189169,0,0301001,FS20005412,5170588,,,,,EXP6027,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1709,19G00963,8980,2019-07-09,2019-07-09,189175,14940.000,RM093,FS10003210,RM054,PT00065936,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1710,19G01063X,6492739,2019-07-19,2019-08-07,189176,384.000,0301001,FS20003060,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1711,19G01163X,6492739,2019-07-24,2019-08-07,189177,384.000,0301001,FS20003060,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1712,19G01563,8506SA,2019-09-03,2019-09-04,189181,95299.813,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1713,19G01663,8506Y,2019-08-16,2019-08-21,189182,153131.323,RM106,FS10003085,CL63R1776,RM260,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1714,19G01763,8507SA,2019-08-26,2019-08-28,189183,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1715,19G01963,8537Y,2019-08-19,2019-08-21,189186,28540.512,RM171,FS10003140,CL63R1780,RM260,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1716,19G02063,8556H,2019-09-10,2019-09-10,189187,1368.000,,FS10003153,R98190,,R8550LGB,,,,,CL63R98173,,,,,,,,,,,,,R4415,,,,,,,,,8507SA,,,,Containers
1717,19G02163,V8506,2019-09-11,2019-09-11,189188,53758.837,RM004,FS10029846,CL63R1767A,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1718,19G02463,8900SA,2019-10-01,2019-10-02,189191,1530.000,RM160,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1719,19G02863,8938,2019-09-16,2019-09-20,189195,15720.000,RM093,FS10003185,RM054,PT00065936,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1720,19G03163,8985S,2019-11-13,2019-11-13,189198,9000.000,RM093,FS10003224,R1644A,PT00062563,,,,,,PT00012137,,WP7449,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1721,19G03263,8991,2019-07-25,2019-07-29,189199,990909.192,RM165,FS10003231,R1700,,,,,,,PT00012105,,WP7483,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1722,19G03763,8527R,2019-08-30,2019-08-30,189217,27540.000,RM032,FS10003126,PT00049846,RM170,,,,,,PT00012105,,WP8526,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1723,19G03963X,8881112083,2019-07-17,2019-07-17,189220,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1724,19G04063X,8881112083,2019-07-17,2019-12-31,189221,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1725,19G04163,8989,2019-08-26,2019-08-28,189222,29470.000,RM093,FS10003226,R1690,PT00062563,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1726,19G04463,8611RC,2019-07-10,2019-07-10,189235,4240.000,RM129,FS10028809,R1292D,RM074,,,,,,PT00006651,,PT00013694,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
1727,19G04563,8611U,2019-07-10,2019-07-10,189236,1200.000,RM129,FS20001167,R1292D,RM074,,,,,,PT00067916,,PT00013694,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
1728,19G04763X,8881907003,2019-07-10,2019-07-17,189238,0,0301001,FS10017465,5000231,,,,,4230505,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1729,19G04863X,8881907003,2019-07-10,2019-07-17,189239,0,0301001,FS10017465,5000231,,,,,4230505,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1730,19G05063,8607RC,2019-08-07,2019-08-07,189241,9976.205,RM129,FS10025554,R1644A,RM074,,,,,,PT00006651,,PT00013692,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
1731,19G05263X,8881540122,2019-07-12,2019-08-07,189243,0,0301001,FS10024556,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,4500906,,,Syringe
1732,19G05363X,8881540122,2019-07-17,2019-08-14,189244,0,0301001,FS10024556,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,4500906,,,Syringe
1733,19G05463X,8881540122,2019-07-17,2019-08-14,189245,0,0301001,FS10024556,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,4500906,,,Syringe
1734,19G05563X,8881540122,2019-07-17,2019-08-14,189246,0,0301001,FS10024556,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,4500906,,,Syringe
1735,19G05963,1522SA,2019-10-28,2019-10-30,189253,42519.859,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1736,19G06063,31157160,2019-10-02,2019-10-02,189254,570.000,RM157,FS10006139,RM054,PT00065936,,,PT00047930,,,R98399A,,WP4810,,,,,,,,,,,,,,,,,,,,,,,,Containers
1737,19G06163,8506SA,2019-09-20,2019-09-25,189255,116477.549,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1738,19G06263,8507SA,2019-09-09,2019-09-18,189256,108332.266,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1739,19G06363,8860,2019-09-26,2019-09-28,189257,6080.000,RM020,FS10003162,R1292D,PT00065942,,,PT00006652,,,CL63R98234,,PT00013699,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1740,19G06563,8989CRH,2019-08-19,2019-08-21,189259,5320.000,RM165,FS10028282,R1700,,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1741,19G06663,8906,2019-10-16,2019-10-16,189266,738.000,RM160,FS10003169,CL63R1796,RM026,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1742,19G07263,8970,2019-07-23,2019-07-24,189278,1388106.341,RM165,FS10003203,R1528A,PT00065936,,,,,,PT00006610,,WP8979,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1743,19G07363,8970,2019-09-24,2019-09-25,189282,96320.000,RM165,FS10003203,R1528A,PT00065936,,,,X98151,,CL63R9876B,,WP8979,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1744,19G07463,8970,2019-10-29,2019-10-30,189283,99840.000,RM165,FS10003203,R1528A,PT00065936,,,,X98151,,CL63R9876B,,WP8979,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1745,19G07563,V8970,2019-09-11,2019-09-13,189284,16240.000,RM165,FS10003255,CL63R1603,PT00065936,,,,,,PT00006610,,WP8979,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1746,19G07663,047,2019-08-05,2019-08-07,189285,12320.000,RM093,FS10026366,R1528A,PT00065936,,,PT00034301,,,PT00034377,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1747,19G07863,047,2019-09-04,2019-09-11,189287,61040.000,RM093,FS10026366,R1528A,PT00065936,,,PT00034301,,,PT00034377,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1748,19G07963,8990SA,2019-08-18,2019-08-21,189288,21840.000,RM165,FS10003229,R1528A,PT00065936,,,,,,PT00006610,,WP3204,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1749,19G08063,31156916,2019-07-26,2019-07-29,189289,25200.000,RM093,FS10026367,R1528A,PT00065936,,,PT00047930,,,CL63RR98416,,WP7102,,,,,,,,,,,,,,,,,,,,,,,,Containers
1750,19G08163,31156916,2019-09-22,2019-09-25,189290,21280.000,RM093,FS10026367,R1528A,PT00065936,,,PT00047930,,,CL63RR98416,,WP7102,,,,,,,,,,,,,,,,,,,,,,,,Containers
1751,19G08263,1525SA,2019-10-02,2019-10-02,189291,10640.000,RM165,FS10003047,R1528A,PT00065936,,,,,,PT00006610,,WP7024K,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1752,19G08363,8982,2019-08-26,2019-08-28,189292,50400.000,RM093,FS10003217,R1528A,PT00062563,,,PT00068683,,,CL63R9960A,,,,,,,,,,,R5098,,R4415,,,WP8982,,,,,,,,,,Containers
1753,19G08663,31300878,2019-07-26,2019-07-29,189295,0,RM171,FS10002818,PT00044733,RM260,,,,,,PT00006643,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1754,19G08963,8820,2019-10-18,2019-10-18,189298,105864.886,RM020,FS10003159,R1528A,PT00065942,,,PT00068803,,,CL63R98234,,WP8825,,,,,,,,,R5098,,R4415,,,,,,,,,,,,,Containers
1755,19G09163,89671,2019-09-04,2019-09-05,189300,28080.000,RM106,FS10003199,R1300D,RM170,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1756,19G09263,89671,2019-10-01,2019-10-02,189301,66040.000,RM106,FS10003199,R1300D,RM170,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1757,19G09363,89651,2019-08-21,2019-08-21,189302,29160.000,RM165,FS10003196,R1300D,PT00065936,,,,X98151,,CL63R9870B,,WP8965N,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1758,19G09463,31323176,2019-09-04,2019-09-05,189303,11880.000,RM032,FS10006055,R1680,RM170,,,PT00047930,,,PT00033502,,WP7605,,,,,,,,,R1679,,,,,,,,,,,,,,,Containers
1759,19G09563,31144010,2019-09-13,2019-09-18,189304,44280.000,RM032,FS10006041,R1680,RM170,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
1760,19G09763,31143897,2019-08-28,2019-08-28,189306,10800.000,RM004,FS10006039,R1680,,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
1761,19G09863,31157111,2019-08-20,2019-08-21,189307,20096.000,RM157,FS10007067,R1697,PT00065936,,,PT00047930,,,CL63RR98416,,WP7102,,,,,,,,,,,,,,,,,,,,,,,,Containers
1762,19G10063,31143699,2019-08-12,2019-08-14,189309,51200.000,RM157,FS10007061,R1697,PT00065936,,,,,,PT00033501,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1763,19G10163,31143699,2019-09-23,2019-09-25,189310,60416.000,RM157,FS10007061,R1697,PT00065936,,,,,,PT00033501,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1764,19G10263,851301,2019-10-01,2019-10-02,189313,14500.000,RM032,FS10003099,R1320D,RM170,,,,,,PT00006610,,WP851201N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1765,19G10563X,8881112083,2019-07-19,2019-07-19,189330,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1766,19G10663X,8881112083,2019-07-24,2019-07-24,189331,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1767,19G10763X,8881112083,2019-07-24,2020-12-01,189332,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1768,19G10863X,8881112083,2019-07-24,2020-04-06,189333,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1769,19G10963X,8881112083,2019-07-26,2019-07-26,189334,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1770,19G11063X,410S,2019-07-15,2019-07-17,189335,0,0301001,FS10028977,PT00006673,0400145,,,,4230505,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1771,19G11163X,412SE,2019-08-07,2019-08-14,189336,5157.956,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
1772,19G11263X,412SE,2019-07-22,2019-08-14,189337,1735.387,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
1773,19G11363X,412SE,2019-10-04,2019-10-23,189338,5037.443,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
1774,19G11463X,412SE,2019-10-10,2019-10-23,189339,5591.803,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
1775,19G11663,V8985,2019-09-18,2019-09-18,189341,9180.000,RM093,FS10003257,CL63R1654,PT00062563,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1776,19G11763,31139747,2019-08-21,2019-08-21,189343,1000.000,,FS10006161,,,,,,,,,,,,,,,,,,,,,R4415,,,,,,,,,,,,R1594,Containers
1777,19G12063,8938,2019-07-13,2019-07-16,189348,10150.000,RM129,FS10003185,RM054,PT00065936,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1778,19G12363,85221R,2019-10-30,2019-10-30,189355,72900.000,RM032,FS10003118,,RM170,,,,,,PT00006610,,WP8520N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1779,19G12763,8980S,2019-10-22,2019-10-30,189359,51220.000,RM093,FS10003214,RM054,PT00065936,,,,,,PT00006635,,WP7445,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1780,19G12863,8932PG2,2019-07-29,2019-07-29,189361,8560.000,RM129,FS10003746,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1781,19G12963X,8881512878,2019-07-28,2019-08-14,189364,0,0301001,FS10011723,PT00015857,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
1782,19G13063X,8881512878,2019-07-29,2019-08-14,189365,0,0301001,FS10011723,PT00015857,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
1783,19G13263,8998PG2,2019-09-14,2019-09-20,189368,1540.000,RM176,FS10003738,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1784,19G13563,8938,2019-07-15,2019-07-24,189371,19670.000,RM093,FS10003185,RM054,PT00065936,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1785,19G13663,8918GSTC,2019-08-05,2019-08-14,189372,0,RM176,DC00072177,R1700,PT00065943,,,PT00089213,,,,,PT00096202,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1786,19G14063,31180378,2019-09-03,2019-09-04,189376,1170.000,RM160,FS10006143,RM112,PT00062563,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1787,19G14363,8506SA,2019-10-01,2019-10-09,189379,119735.662,RM004,FS10003084,CL63R1776,,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1788,19G14563,8507SA,2019-09-20,2019-09-25,189381,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1789,19G15063,8900SA,2019-10-30,2019-10-30,189386,1008.000,RM160,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1790,19G15463,8991,2019-09-22,2019-09-25,189390,538050.240,RM165,FS10003231,R1700,,,,,,,PT00012105,,WP7483,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1791,19G15563,8985CRH,2019-10-09,2019-10-09,189392,108426.240,RM093,FS10028280,RM054,PT00065936,,,,,,PT00012138,,PT00013692,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1792,19G15863X,8881112599,2019-07-25,2019-07-27,189409,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
1793,19G15963X,8881112599,2019-07-27,2019-07-29,189410,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
1794,19G16063X,8881112599,2019-07-30,2019-08-01,189411,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
1795,19G16163X,8881112599,2019-08-01,2019-08-03,189412,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
1796,19G16263X,8881112599,2019-08-06,2019-08-07,189413,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
1797,19G16463X,5551777047MT,2019-07-24,2019-07-28,189415,0,0301001,FS10013540,5500149,,,,,4230505,,,,,,,,,,,,,,,5241008,,,,,,,,,,,,,Syringe
1798,19G16563X,5551777047MT,2019-07-28,2019-07-30,189416,0,0301001,FS10013540,5500149,,,,,4230505,,,,,,,,,,,,,,,5241008,,,,,,,,,,,,,Syringe
1799,19G16663X,1181200777,2019-07-25,2019-08-14,189417,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1800,19G16763X,1181200777,2019-07-26,2019-08-14,189418,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1801,19G16863X,1181200777,2019-08-07,2019-08-21,189419,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1802,19G16963X,1181200777,2019-10-09,2019-10-23,189420,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1803,19G17063X,1181200777,2019-10-16,2019-11-13,189421,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1804,19G17163X,1181200777,2019-10-16,2019-11-06,189422,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1805,19G17263X,1181200777,2019-10-16,2019-11-06,189423,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1806,19G17363X,1181200777,2019-10-23,2019-11-13,189424,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1807,19G17463,8608RC,2019-11-14,2019-11-14,189427,12960.000,RM129,FS10021636,R1644A,RM074,,,,,,PT00006651,,WP7449,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
1808,19G17963,8935,2019-08-05,2019-08-07,189435,22940.000,RM165,FS20001205,RM054,PT00065936,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1809,19G18163,8303SA,2019-10-02,2019-10-16,189440,40892.383,RM157,FS10003077,R1378B,PT00065936,,,,,,PT00052518,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1810,19G18463,8980Y,2019-08-28,2019-08-28,189443,9180.000,RM093,FS10003215,R1644A,PT00062563,,,,,,PT00012105,,WP8980-C,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1811,19G18563,8982CRH,2019-10-15,2019-10-16,189444,368407.369,RM093,FS10028277,R1528A,PT00065936,,,,,,PT00006655,,,,,,,,,,,R5098,,R4415,,,WP8982,,,,,,,,,,Containers
1812,19G18863,31143665,2019-11-27,2019-11-27,189452,60.000,RM157,FS10006135,RM054,PT00065936,,,,,,PT00067912,,WP4810,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1813,19G189161,WP4810,2019-10-09,2019-10-09,189161,404706.374,RM004,FS10006159,,,,,,,R7568,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1814,19G189170,WP7417P,2019-07-18,2019-07-24,189170,24750.000,RM176,FS10003697,R98028,PT00065942,,X9894,,X9899,,,,PT00012252,,,,,,,WP7477,,,,,,,,,,,,,,,,,Containers
1816,19G189202,WP8982,2019-09-04,2019-09-04,189202,0,RM160,FS10002992,R98028,PT00065942,,X9894,,,,,,,,,,,R7075BY,R8249,,,,,,,,,,,,,,,,,,Containers
1817,19G189203,WP8825,2019-10-01,2019-10-02,189203,0,RM160,DC00030196,R98028,PT00065943,,X9894,R4226A,,,,,,,,,,R7075BY,R8249,,,,,,,,,,,,,,,,,,Containers
1818,19G189204,WP7623,2019-08-05,2019-08-05,189204,81014.169,RM093,FS10007859,R98350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1819,19G189205,WP7102,2019-09-17,2019-09-18,189205,201874.083,RM160,FS10026576,,,,,,,R7616,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1820,19G189209,R7075BY,2019-09-22,2019-09-22,189209,528.488,RM044,FS10002858,,RM041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1821,19G189210,R7616,2019-09-18,2019-09-25,189210,80592.512,RM004,FS10007073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1822,19G189219,WP7445,2019-08-07,2019-08-07,189219,208113.757,RM093,FS10002949,RM054,PT00065936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1823,19G189225,WP7026,2019-09-03,2019-09-03,189225,0,RM004,FS10002940,R1106A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1824,19G189227,WP8965N,2019-08-21,2019-09-28,189227,0,RM004,FS10002987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1825,19G189260,WP0002PKG,2019-10-23,2019-10-23,189260,42500.000,,FS20006470,X9902,,,,,,,,,,R4227,R5097,,,,,,,,,,,,,,,,,,,,,,Containers
1826,19G189264,WP7478,2019-11-04,2019-11-06,189264,25985.485,RM036,FS10002954,,RM018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1827,19G189265,WP7477,2019-10-01,2019-10-01,189265,81909.734,RM004,FS10027264,,,,,,,,CL63R3908,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1828,19G189267,WP7026P,2019-09-09,2019-09-09,189267,0,RM004,FS20001324,CL63R1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1829,19G189269,WP7024K,2019-09-18,2019-09-18,189269,0,RM004,FS10002938,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1830,19G189311,PT00096202,2019-08-05,2019-08-06,189311,3150.000,RM176,FS10003701,R98028,PT00065942,,X9894,PT00089214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1831,19G189314,WP851201N,2019-09-16,2019-09-18,189314,19980.000,,FS10002967,,,,,,,,,,,,,R7067,R7068,,,,,,,,,,,,,,,,,,,,Containers
1838,19G189342,WP8985,2019-11-27,2019-12-04,189342,332393.635,RM020,DC00030201,R98028,PT00065942,,X9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1839,19G189345,R7067,2019-09-09,2019-09-09,189345,79971.840,RM093,FS10002851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1840,19G189351,WP8965N,2019-08-28,2019-08-28,189351,0,RM004,FS10002987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1841,19G189353,WP7102,2019-09-23,2019-09-24,189353,122347.929,RM160,FS10026576,,,,,,,R7616,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1842,19G189354,PT00075579,2019-09-20,2019-09-20,189354,4788.000,RM129,FS10006132,CL63R1783,,,,,X98142,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1843,19G189360,WP7445,2019-10-14,2019-10-15,189360,202489.061,RM093,FS10002949,RM054,PT00065936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1844,19G189362,WP7449,2019-07-17,2019-07-17,189362,540.000,RM160,FS10002950,R98028,PT00065942,,X9894,,X9899,,,,WP7478,,,PT00012284,,,,WP7477,,,,,,,,,,,,,,,,,Containers
1845,19G189363,PT00075579,2019-07-17,2019-07-17,189363,475.000,RM129,FS10006132,CL63R1783,,,,,X98142,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1846,19G189366,WP8980-C,2019-09-04,2019-09-04,189366,0,RM004,FS10002991,,,,,,,,,R7013,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1847,19G189370,WP7417P,2019-07-22,2019-07-24,189370,12728.000,,FS10003697,R98028,,,X9894,,X9899,,,,WP7478,,,,,,,WP7477,,,,,,,,,,,,,,,,,Containers
1848,19G189391,WP0002PKG,2019-11-20,2019-11-20,189391,30000.000,,FS20006470,X9902,,,,,,,,,,R4227,R5097,,,,,,,,,,,,,,,,,,,,,,Containers
1849,19G189396,WP8520N,2019-09-12,2019-09-12,189396,0,RM004,FS10002970,R1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
1850,19G189398,WP7478,2019-11-11,2019-11-13,189398,25985.485,RM036,FS10002954,,RM018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
